Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,8.300000,8.440000,8.000000,8.110000,8.110000,8438100
2020-04-02,8.010000,8.280000,7.560000,7.630000,7.630000,8468400
2020-04-03,7.800000,7.980000,7.220000,7.480000,7.480000,8196800
2020-04-06,7.820000,8.230000,7.250000,7.730000,7.730000,13006300
2020-04-07,8.960000,9.450000,8.550000,8.760000,8.760000,18291900
2020-04-08,9.030000,9.150000,8.770000,9.030000,9.030000,11996200
2020-04-09,9.750000,10.310000,9.140000,9.500000,9.500000,17219700
2020-04-13,9.770000,9.830000,8.780000,9.030000,9.030000,13625700
2020-04-14,9.360000,9.690000,9.160000,9.240000,9.240000,11887200
2020-04-15,10.020000,10.300000,9.110000,9.190000,9.190000,25626500
2020-04-16,9.010000,9.100000,8.560000,8.730000,8.730000,14846000
2020-04-17,9.200000,9.380000,8.960000,8.980000,8.980000,12279400
2020-04-20,8.780000,8.920000,8.460000,8.630000,8.630000,11279000
2020-04-21,8.500000,8.630000,8.290000,8.330000,8.330000,9618600
2020-04-22,8.500000,8.550000,7.750000,7.860000,7.860000,15149100
2020-04-23,7.970000,8.450000,7.900000,8.010000,8.010000,13810200
2020-04-24,8.130000,8.230000,7.750000,7.950000,7.950000,11208100
2020-04-27,8.080000,8.480000,7.950000,8.120000,8.120000,13330600
2020-04-28,8.510000,9.230000,8.440000,9.020000,9.020000,21976900
2020-04-29,9.770000,10.380000,9.650000,10.130000,10.130000,27555800
2020-04-30,9.960000,10.130000,9.450000,9.740000,9.740000,19691800
2020-05-01,9.160000,9.520000,8.850000,9.020000,9.020000,16131800
2020-05-04,8.110000,8.680000,7.960000,8.620000,8.620000,16056700
2020-05-05,9.020000,9.020000,8.250000,8.290000,8.290000,11333200
2020-05-06,8.350000,8.400000,7.910000,8.020000,8.020000,15354600
2020-05-07,7.970000,8.580000,7.930000,8.180000,8.180000,17866300
2020-05-08,8.400000,9.130000,8.380000,9.090000,9.090000,19690500
2020-05-11,8.810000,8.940000,8.490000,8.560000,8.560000,16622000
2020-05-12,8.560000,8.740000,8.050000,8.060000,8.060000,15107300
2020-05-13,8.020000,8.060000,7.560000,7.890000,7.890000,18823200
2020-05-14,7.670000,8.300000,7.340000,8.230000,8.230000,19569600
2020-05-15,8.040000,8.420000,7.940000,8.240000,8.240000,12250000
2020-05-18,8.780000,8.980000,8.430000,8.980000,8.980000,20177800
2020-05-19,9.200000,9.400000,8.710000,8.920000,8.920000,18470300
2020-05-20,9.120000,9.420000,9.060000,9.190000,9.190000,16994700
2020-05-21,9.270000,9.640000,9.200000,9.420000,9.420000,12811000
2020-05-22,9.590000,9.650000,9.070000,9.240000,9.240000,11592600
2020-05-26,10.030000,10.710000,9.960000,10.570000,10.570000,23831000
2020-05-27,11.660000,11.800000,10.230000,10.900000,10.900000,27918800
2020-05-28,10.700000,10.800000,10.070000,10.170000,10.170000,15650200
2020-05-29,9.890000,10.320000,9.750000,10.070000,10.070000,13444800
