Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,26.920000,27.549999,25.250000,26.350000,26.350000,3350000
2020-04-02,26.139999,27.020000,24.280001,24.660000,24.660000,3065200
2020-04-03,25.160000,25.650000,23.580000,24.690001,24.690001,2707500
2020-04-06,26.040001,27.270000,24.920000,26.670000,26.670000,3724700
2020-04-07,29.340000,31.770000,28.540001,29.030001,29.030001,3766500
2020-04-08,30.200001,30.320000,28.950001,29.139999,29.139999,2934200
2020-04-09,31.240000,33.599998,30.389999,31.610001,31.610001,4210900
2020-04-13,32.630001,32.860001,28.610001,29.510000,29.510000,3181800
2020-04-14,30.580000,31.920000,30.420000,31.049999,31.049999,2789900
2020-04-15,32.240002,32.419998,29.000000,30.080000,30.080000,4253000
2020-04-16,29.240000,29.450001,27.510000,28.260000,28.260000,3274700
2020-04-17,29.690001,30.280001,29.309999,29.930000,29.930000,2491800
2020-04-20,28.940001,29.959999,28.129999,29.230000,29.230000,1812500
2020-04-21,27.799999,29.190001,27.610001,28.290001,28.290001,1884200
2020-04-22,29.000000,29.230000,27.020000,27.530001,27.530001,2600500
2020-04-23,28.010000,28.980000,27.750000,28.200001,28.200001,2399900
2020-04-24,28.559999,28.820000,27.209999,28.010000,28.010000,3054900
2020-04-27,28.340000,29.260000,27.700001,27.850000,27.850000,2766600
2020-04-28,28.889999,32.250000,28.700001,31.580000,31.580000,3954700
2020-04-29,34.060001,34.720001,32.720001,34.000000,34.000000,4002500
2020-04-30,32.779999,33.500000,31.400000,32.520000,32.520000,2673800
2020-05-01,31.410000,31.850000,29.600000,30.110001,30.110001,2392700
2020-05-04,27.120001,28.900000,26.559999,28.770000,28.770000,4457700
2020-05-05,29.719999,30.370001,28.410000,28.969999,28.969999,3958500
2020-05-06,28.879999,29.059999,27.200001,27.830000,27.830000,2994900
2020-05-07,28.059999,29.090000,27.799999,28.250000,28.250000,2906800
2020-05-08,28.770000,30.160000,28.559999,30.000000,30.000000,2772000
2020-05-11,29.480000,29.490000,28.240000,28.360001,28.360001,2988000
2020-05-12,28.459999,28.990000,26.820000,26.850000,26.850000,2983600
2020-05-13,26.559999,26.660000,24.799999,25.520000,25.520000,3449100
2020-05-14,24.420000,26.180000,23.389999,26.139999,26.139999,3507200
2020-05-15,25.650000,26.580000,25.150000,25.629999,25.629999,2787200
2020-05-18,27.670000,29.500000,27.080000,29.049999,29.049999,4334500
2020-05-19,29.610001,29.959999,28.040001,28.660000,28.660000,3189400
2020-05-20,29.350000,30.469999,29.120001,30.260000,30.260000,2676500
2020-05-21,30.360001,32.189999,30.209999,31.840000,31.840000,3278600
2020-05-22,32.320000,32.610001,30.320000,31.020000,31.020000,2888300
2020-05-26,33.580002,35.439999,33.320000,35.029999,35.029999,4605500
2020-05-27,38.529999,39.470001,34.430000,35.740002,35.740002,5503600
2020-05-28,35.880001,36.000000,34.029999,34.459999,34.459999,3265100
2020-05-29,33.189999,35.119999,32.779999,34.189999,34.189999,3563100
