Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,26.590000,26.590000,23.690001,23.870001,23.870001,56133000
2020-04-02,23.920000,24.650000,22.510000,22.680000,22.680000,39407400
2020-04-03,23.030001,23.650000,21.750000,22.480000,22.480000,48967800
2020-04-06,22.309999,23.500000,20.760000,22.320000,22.320000,95093000
2020-04-07,25.209999,25.850000,21.900000,22.250000,22.250000,98907200
2020-04-08,23.090000,23.639999,22.530001,23.230000,23.230000,67196300
2020-04-09,25.400000,25.530001,23.350000,24.389999,24.389999,91692900
2020-04-13,24.980000,25.059999,22.080000,23.250000,23.250000,76173000
2020-04-14,23.990000,25.290001,23.830000,24.540001,24.540001,60843600
2020-04-15,24.910000,25.500000,23.309999,24.350000,24.350000,88092500
2020-04-16,23.760000,23.799999,22.629999,22.780001,22.780001,57610200
2020-04-17,24.150000,24.610001,23.590000,24.270000,24.270000,52594500
2020-04-20,23.440001,24.120001,22.910000,23.639999,23.639999,42950800
2020-04-21,23.020000,23.770000,22.799999,23.100000,23.100000,38616700
2020-04-22,23.879999,23.940001,21.629999,22.469999,22.469999,70221400
2020-04-23,22.650000,22.959999,22.410000,22.480000,22.480000,43581800
2020-04-24,22.530001,22.680000,21.750000,22.410000,22.410000,43766600
2020-04-27,22.830000,23.440001,22.000000,22.160000,22.160000,50561700
2020-04-28,23.000000,24.900000,22.650000,24.340000,24.340000,83972100
2020-04-29,25.690001,27.600000,25.500000,27.320000,27.320000,81614900
2020-04-30,26.700001,27.230000,25.500000,25.910000,25.910000,63324500
2020-05-01,24.950001,25.400000,23.719999,24.120001,24.120001,45146100
2020-05-04,21.190001,22.790001,20.500000,22.570000,22.570000,91387100
2020-05-05,23.020000,23.500000,21.510000,21.709999,21.709999,51178700
2020-05-06,21.760000,22.100000,20.750000,21.000000,21.000000,52949200
2020-05-07,21.070000,22.500000,21.020000,21.680000,21.680000,48328200
2020-05-08,22.360001,22.920000,22.049999,22.719999,22.719999,43366800
2020-05-11,22.100000,22.510000,21.549999,22.010000,22.010000,39038600
2020-05-12,22.100000,22.400000,21.030001,21.030001,21.030001,37466300
2020-05-13,20.969999,20.969999,19.090000,19.410000,19.410000,72264900
2020-05-14,18.799999,19.540001,17.510000,19.379999,19.379999,88506300
2020-05-15,18.969999,19.650000,18.620001,19.190001,19.190001,46861800
2020-05-18,20.910000,21.940001,20.549999,21.860001,21.860001,74681700
2020-05-19,22.570000,22.570000,21.320000,21.760000,21.760000,70906400
2020-05-20,22.340000,23.100000,22.139999,22.719999,22.719999,50857000
2020-05-21,22.770000,23.680000,22.670000,23.160000,23.160000,46567200
2020-05-22,23.240000,23.400000,22.230000,22.690001,22.690001,37139300
2020-05-26,24.480000,25.870001,24.280001,25.650000,25.650000,78557100
2020-05-27,27.670000,27.850000,24.730000,26.320000,26.320000,92712000
2020-05-28,26.250000,26.360001,24.950001,25.660000,25.660000,53868100
2020-05-29,24.620001,25.610001,24.370001,25.209999,25.209999,50687500
